id_transaksi,tanggal,id_cabang,nama_cabang,nama_obat,kategori,jumlah,harga_satuan,total_bayar
TX-SNR-20260513-001,2026-05-13,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,5,"Rp. 5000,00","Rp. 25000,00"
TX-SNR-20260513-002,2026-05-13,AP-BALI-04,Sanur,Promag Tab,Bebas,1,"Rp. 9000,00","Rp. 9000,00"
TX-SNR-20260513-003,2026-05-13,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,4,"Rp. 2500,00","Rp. 10000,00"
TX-SNR-20260513-004,2026-05-13,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,4,"Rp. 7000,00","Rp. 28000,00"
TX-SNR-20260514-001,2026-05-14,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,4,"Rp. 4500,00","Rp. 18000,00"
TX-SNR-20260514-002,2026-05-14,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,2,"Rp. 2500,00","Rp. 5000,00"
TX-SNR-20260514-003,2026-05-14,AP-BALI-04,Sanur,Imboost Force,Suplemen,2,"Rp. 45000,00","Rp. 90000,00"
TX-SNR-20260514-004,2026-05-14,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,5,"Rp. 7000,00","Rp. 35000,00"
TX-SNR-20260514-005,2026-05-14,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,5,"Rp. 4000,00","Rp. 20000,00"
TX-SNR-20260515-001,2026-05-15,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,2,"Rp. 4000,00","Rp. 8000,00"
TX-SNR-20260515-002,2026-05-15,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,3,"Rp. 4000,00","Rp. 12000,00"
TX-SNR-20260515-003,2026-05-15,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,4,"Rp. 22000,00","Rp. 88000,00"
TX-SNR-20260515-004,2026-05-15,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,5,"Rp. 15000,00","Rp. 75000,00"
TX-SNR-20260516-001,2026-05-16,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,5,"Rp. 15000,00","Rp. 75000,00"
TX-SNR-20260516-002,2026-05-16,AP-BALI-04,Sanur,Promag Tab,Bebas,4,"Rp. 9000,00","Rp. 36000,00"
TX-SNR-20260516-003,2026-05-16,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,4,"Rp. 2500,00","Rp. 10000,00"
TX-SNR-20260516-004,2026-05-16,AP-BALI-04,Sanur,Imboost Force,Suplemen,5,"Rp. 45000,00","Rp. 225000,00"
TX-SNR-20260516-005,2026-05-16,AP-BALI-04,Sanur,Imboost Force,Suplemen,1,"Rp. 45000,00","Rp. 45000,00"
TX-SNR-20260516-006,2026-05-16,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,4,"Rp. 4000,00","Rp. 16000,00"
TX-SNR-20260517-001,2026-05-17,AP-BALI-04,Sanur,Promag Tab,Bebas,3,"Rp. 9000,00","Rp. 27000,00"
TX-SNR-20260517-002,2026-05-17,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,1,"Rp. 22000,00","Rp. 22000,00"
TX-SNR-20260517-003,2026-05-17,AP-BALI-04,Sanur,Imboost Force,Suplemen,3,"Rp. 45000,00","Rp. 135000,00"
TX-SNR-20260517-004,2026-05-17,AP-BALI-04,Sanur,Imboost Force,Suplemen,5,"Rp. 45000,00","Rp. 225000,00"
TX-SNR-20260518-001,2026-05-18,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,5,"Rp. 4000,00","Rp. 20000,00"
TX-SNR-20260518-002,2026-05-18,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,3,"Rp. 2500,00","Rp. 7500,00"
TX-SNR-20260518-003,2026-05-18,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,5,"Rp. 5000,00","Rp. 25000,00"
TX-SNR-20260519-001,2026-05-19,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,3,"Rp. 4000,00","Rp. 12000,00"
TX-SNR-20260519-002,2026-05-19,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,1,"Rp. 22000,00","Rp. 22000,00"
TX-SNR-20260519-003,2026-05-19,AP-BALI-04,Sanur,Promag Tab,Bebas,2,"Rp. 9000,00","Rp. 18000,00"
TX-SNR-20260520-001,2026-05-20,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,3,"Rp. 4000,00","Rp. 12000,00"
TX-SNR-20260520-002,2026-05-20,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,5,"Rp. 22000,00","Rp. 110000,00"
TX-SNR-20260520-003,2026-05-20,AP-BALI-04,Sanur,Imboost Force,Suplemen,4,"Rp. 45000,00","Rp. 180000,00"
TX-SNR-20260521-001,2026-05-21,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,3,"Rp. 22000,00","Rp. 66000,00"
TX-SNR-20260521-002,2026-05-21,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,2,"Rp. 4500,00","Rp. 9000,00"
TX-SNR-20260521-003,2026-05-21,AP-BALI-04,Sanur,Promag Tab,Bebas,1,"Rp. 9000,00","Rp. 9000,00"
TX-SNR-20260521-004,2026-05-21,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,3,"Rp. 2500,00","Rp. 7500,00"
TX-SNR-20260521-005,2026-05-21,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,3,"Rp. 2500,00","Rp. 7500,00"
TX-SNR-20260521-006,2026-05-21,AP-BALI-04,Sanur,Imboost Force,Suplemen,2,"Rp. 45000,00","Rp. 90000,00"
TX-SNR-20260522-001,2026-05-22,AP-BALI-04,Sanur,Imboost Force,Suplemen,4,"Rp. 45000,00","Rp. 180000,00"
TX-SNR-20260522-002,2026-05-22,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,2,"Rp. 7000,00","Rp. 14000,00"
TX-SNR-20260522-003,2026-05-22,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,3,"Rp. 22000,00","Rp. 66000,00"
TX-SNR-20260523-001,2026-05-23,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,2,"Rp. 7000,00","Rp. 14000,00"
TX-SNR-20260523-002,2026-05-23,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,1,"Rp. 7000,00","Rp. 7000,00"
TX-SNR-20260523-003,2026-05-23,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,1,"Rp. 3000,00","Rp. 3000,00"
TX-SNR-20260523-004,2026-05-23,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,1,"Rp. 2500,00","Rp. 2500,00"
TX-SNR-20260524-001,2026-05-24,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,4,"Rp. 4500,00","Rp. 18000,00"
TX-SNR-20260524-002,2026-05-24,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,1,"Rp. 22000,00","Rp. 22000,00"
TX-SNR-20260524-003,2026-05-24,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,3,"Rp. 7000,00","Rp. 21000,00"
TX-SNR-20260524-004,2026-05-24,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,2,"Rp. 22000,00","Rp. 44000,00"
TX-SNR-20260524-005,2026-05-24,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,5,"Rp. 5000,00","Rp. 25000,00"
TX-SNR-20260524-006,2026-05-24,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,4,"Rp. 4500,00","Rp. 18000,00"
TX-SNR-20260525-001,2026-05-25,AP-BALI-04,Sanur,Promag Tab,Bebas,3,"Rp. 9000,00","Rp. 27000,00"
TX-SNR-20260525-002,2026-05-25,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,2,"Rp. 5000,00","Rp. 10000,00"
TX-SNR-20260525-003,2026-05-25,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,3,"Rp. 3000,00","Rp. 9000,00"
TX-SNR-20260526-001,2026-05-26,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,2,"Rp. 7000,00","Rp. 14000,00"
TX-SNR-20260526-002,2026-05-26,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,4,"Rp. 4500,00","Rp. 18000,00"
TX-SNR-20260526-003,2026-05-26,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,3,"Rp. 15000,00","Rp. 45000,00"
TX-SNR-20260526-004,2026-05-26,AP-BALI-04,Sanur,Cetirizine 10mg,Resep,3,"Rp. 3000,00","Rp. 9000,00"
TX-SNR-20260526-005,2026-05-26,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,5,"Rp. 2500,00","Rp. 12500,00"
TX-SNR-20260526-006,2026-05-26,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,2,"Rp. 2500,00","Rp. 5000,00"
TX-SNR-20260527-001,2026-05-27,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,5,"Rp. 4000,00","Rp. 20000,00"
TX-SNR-20260527-002,2026-05-27,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,2,"Rp. 2500,00","Rp. 5000,00"
TX-SNR-20260527-003,2026-05-27,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,2,"Rp. 4000,00","Rp. 8000,00"
TX-SNR-20260528-001,2026-05-28,AP-BALI-04,Sanur,Sangobion Cap,Vitamin,5,"Rp. 22000,00","Rp. 110000,00"
TX-SNR-20260528-002,2026-05-28,AP-BALI-04,Sanur,Promag Tab,Bebas,2,"Rp. 9000,00","Rp. 18000,00"
TX-SNR-20260528-003,2026-05-28,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,1,"Rp. 4500,00","Rp. 4500,00"
TX-SNR-20260529-001,2026-05-29,AP-BALI-04,Sanur,Ibuprofen 400mg,Bebas Terbatas,2,"Rp. 7000,00","Rp. 14000,00"
TX-SNR-20260529-002,2026-05-29,AP-BALI-04,Sanur,Imboost Force,Suplemen,2,"Rp. 45000,00","Rp. 90000,00"
TX-SNR-20260529-003,2026-05-29,AP-BALI-04,Sanur,Tolak Angin Cair,Herbal,2,"Rp. 4000,00","Rp. 8000,00"
TX-SNR-20260529-004,2026-05-29,AP-BALI-04,Sanur,Imboost Force,Suplemen,4,"Rp. 45000,00","Rp. 180000,00"
TX-SNR-20260529-005,2026-05-29,AP-BALI-04,Sanur,Promag Tab,Bebas,2,"Rp. 9000,00","Rp. 18000,00"
TX-SNR-20260530-001,2026-05-30,AP-BALI-04,Sanur,Promag Tab,Bebas,4,"Rp. 9000,00","Rp. 36000,00"
TX-SNR-20260530-002,2026-05-30,AP-BALI-04,Sanur,Promag Tab,Bebas,3,"Rp. 9000,00","Rp. 27000,00"
TX-SNR-20260530-003,2026-05-30,AP-BALI-04,Sanur,Promag Tab,Bebas,4,"Rp. 9000,00","Rp. 36000,00"
TX-SNR-20260530-004,2026-05-30,AP-BALI-04,Sanur,Promag Tab,Bebas,5,"Rp. 9000,00","Rp. 45000,00"
TX-SNR-20260530-005,2026-05-30,AP-BALI-04,Sanur,Vitamin C 1000mg,Vitamin,4,"Rp. 15000,00","Rp. 60000,00"
TX-SNR-20260531-001,2026-05-31,AP-BALI-04,Sanur,Mefenamic Acid 500mg,Resep,1,"Rp. 4500,00","Rp. 4500,00"
TX-SNR-20260531-002,2026-05-31,AP-BALI-04,Sanur,Promag Tab,Bebas,2,"Rp. 9000,00","Rp. 18000,00"
TX-SNR-20260531-003,2026-05-31,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,3,"Rp. 5000,00","Rp. 15000,00"
TX-SNR-20260531-004,2026-05-31,AP-BALI-04,Sanur,Paracetamol 500mg,Bebas,2,"Rp. 5000,00","Rp. 10000,00"
TX-SNR-20260531-005,2026-05-31,AP-BALI-04,Sanur,Promag Tab,Bebas,4,"Rp. 9000,00","Rp. 36000,00"
TX-SNR-20260531-006,2026-05-31,AP-BALI-04,Sanur,Amoxicillin 500mg,Resep,4,"Rp. 2500,00","Rp. 10000,00"
